Nazionalità,M,F
CINESE,323,293
RUMENA,197,421
NIGERIANA,116,37
BANGLADESE,69,7
ALBANESE,65,67
GAMBIANA,61,0
SENEGALESE,60,16
MAROCCHINA,49,63
INDIANA,35,24
MALIANA,34,0
GHANAESE,31,2
PACHISTANA,25,1
TUNISINA,25,18
IVORIANA,24,3
BULGARA,21,92
EGIZIANA,20,7
UCRAINA,19,76
AFGANA,18,5
BRASILIANA,15,23
GEORGIANA,14,33
POLACCA,14,46
GUINEANA,13,2
PALESTINESE,9,7
SIRIANA,9,11
TURCA,8,1
CUBANA,7,11
ERITREA,7,11
IRACHENA,7,1
ARGENTINA,6,10
BRITANNICA,6,6
KOSOVARA,6,3
GUINEENSE,5,0
BURKINABE',4,1
CINGALESE,4,2
COLOMBIANA,4,6
FRANCESE,4,16
LIBICA,4,1
SPAGNOLA,4,8
STATUNITENSE,4,5
TEDESCA,4,9
VENEZUELANA,4,5
CONGOLESE,3,2
ETIOPE,3,2
LIBERIANA,3,0
SUDANESE,3,0
BOSNIASCA,2,0
CAMERUNESE,2,6
GRECA,2,2
OLANDESE,2,1
SOMALA,2,0
TOGOLESE,2,0
BELGA,1,1
BENINESE,1,0
BIELORUSSA,1,1
CANADESE,1,0
CENTROAFRICANA,1,0
CROATA,1,2
DOMINICANA,1,5
ELVETICA,1,0
IRANIANA,1,2
IRLANDESE,1,0
KENIANA,1,1
MALGASCIA,1,2
MAURIZIANA,1,1
MESSICANA,1,0
NEPALESE,1,0
PANAMENSE,1,0
SALVADOREGNA,1,1
SIERRALEONESE,1,0
SUDCOREANA,1,0
ALGERINA,0,1
ARMENA,0,1
AUSTRALIANA,0,2
CECA,0,2
CILENA,0,2
CIPRIOTA,0,1
ECUADOREGNA,0,3
FILIPPINA,0,8
GIAPPONESE,0,4
INDONESIANA,0,1
KAZACA,0,4
LETTONE,0,2
LITUANA,0,2
MOLDAVA,0,3
PERUVIANA,0,2
RUSSA,0,7
SLOVACCA,0,3
SVEDESE,0,1
TAILANDESE,0,4
UNGHERESE,0,1
URUGUAIANA,0,1
