COMUNE,NOME_COMUNE,PROVINCIA,NOME_PROVINCIA,REGIONE,NOME_REGIONE,DATA_DECESSO2020,MESE_DECESSO,GIORNO_DECESSO,DECESSI_2015,DECESSI_2016,DECESSI_2017,DECESSI_2018,DECESSI_2019,DECESSI_2020
77014,Matera,77,Matera,17,Basilicata,01/01/2020,1,1,1,2,3,3,1,0
77014,Matera,77,Matera,17,Basilicata,02/01/2020,1,2,1,1,2,2,5,0
77014,Matera,77,Matera,17,Basilicata,03/01/2020,1,3,1,2,3,0,0,1
77014,Matera,77,Matera,17,Basilicata,04/01/2020,1,4,0,0,1,0,3,0
77014,Matera,77,Matera,17,Basilicata,05/01/2020,1,5,2,3,1,2,2,0
77014,Matera,77,Matera,17,Basilicata,06/01/2020,1,6,2,3,2,0,4,0
77014,Matera,77,Matera,17,Basilicata,07/01/2020,1,7,1,1,3,1,1,13
77014,Matera,77,Matera,17,Basilicata,08/01/2020,1,8,2,1,2,3,2,4
77014,Matera,77,Matera,17,Basilicata,09/01/2020,1,9,1,0,2,3,1,2
77014,Matera,77,Matera,17,Basilicata,10/01/2020,1,10,0,1,3,3,1,2
77014,Matera,77,Matera,17,Basilicata,11/01/2020,1,11,2,1,3,2,1,0
77014,Matera,77,Matera,17,Basilicata,12/01/2020,1,12,1,1,1,3,2,0
77014,Matera,77,Matera,17,Basilicata,13/01/2020,1,13,1,2,3,0,2,6
77014,Matera,77,Matera,17,Basilicata,14/01/2020,1,14,1,2,0,4,1,1
77014,Matera,77,Matera,17,Basilicata,15/01/2020,1,15,2,2,1,5,1,1
77014,Matera,77,Matera,17,Basilicata,16/01/2020,1,16,2,4,5,3,1,0
77014,Matera,77,Matera,17,Basilicata,17/01/2020,1,17,2,1,0,1,2,1
77014,Matera,77,Matera,17,Basilicata,18/01/2020,1,18,3,1,0,1,1,0
77014,Matera,77,Matera,17,Basilicata,19/01/2020,1,19,5,2,1,3,7,0
77014,Matera,77,Matera,17,Basilicata,20/01/2020,1,20,0,3,7,4,4,3
77014,Matera,77,Matera,17,Basilicata,21/01/2020,1,21,2,1,0,1,0,5
77014,Matera,77,Matera,17,Basilicata,22/01/2020,1,22,0,4,2,2,1,0
77014,Matera,77,Matera,17,Basilicata,23/01/2020,1,23,2,4,0,0,1,0
77014,Matera,77,Matera,17,Basilicata,24/01/2020,1,24,2,3,1,1,2,0
77014,Matera,77,Matera,17,Basilicata,25/01/2020,1,25,1,0,3,1,2,0
77014,Matera,77,Matera,17,Basilicata,26/01/2020,1,26,2,1,0,0,1,0
77014,Matera,77,Matera,17,Basilicata,27/01/2020,1,27,1,1,1,1,2,10
77014,Matera,77,Matera,17,Basilicata,28/01/2020,1,28,0,0,1,2,1,0
77014,Matera,77,Matera,17,Basilicata,29/01/2020,1,29,2,2,2,3,1,0
77014,Matera,77,Matera,17,Basilicata,30/01/2020,1,30,1,3,1,0,1,0
77014,Matera,77,Matera,17,Basilicata,31/01/2020,1,31,0,1,1,2,1,5
77014,Matera,77,Matera,17,Basilicata,01/02/2020,2,1,1,1,1,0,0,0
77014,Matera,77,Matera,17,Basilicata,02/02/2020,2,2,0,1,2,3,1,0
77014,Matera,77,Matera,17,Basilicata,03/02/2020,2,3,1,1,0,1,0,0
77014,Matera,77,Matera,17,Basilicata,04/02/2020,2,4,0,2,3,1,2,0
77014,Matera,77,Matera,17,Basilicata,05/02/2020,2,5,1,3,1,2,0,4
77014,Matera,77,Matera,17,Basilicata,06/02/2020,2,6,6,0,1,1,1,0
77014,Matera,77,Matera,17,Basilicata,07/02/2020,2,7,1,0,2,1,2,0
77014,Matera,77,Matera,17,Basilicata,08/02/2020,2,8,2,1,1,2,1,0
77014,Matera,77,Matera,17,Basilicata,09/02/2020,2,9,1,3,3,5,2,0
77014,Matera,77,Matera,17,Basilicata,10/02/2020,2,10,2,1,1,3,0,7
77014,Matera,77,Matera,17,Basilicata,11/02/2020,2,11,3,3,0,5,4,0
77014,Matera,77,Matera,17,Basilicata,12/02/2020,2,12,1,2,0,0,4,0
77014,Matera,77,Matera,17,Basilicata,13/02/2020,2,13,2,1,2,2,2,4
77014,Matera,77,Matera,17,Basilicata,14/02/2020,2,14,3,3,1,1,1,0
77014,Matera,77,Matera,17,Basilicata,15/02/2020,2,15,1,0,1,0,2,0
77014,Matera,77,Matera,17,Basilicata,16/02/2020,2,16,1,2,2,2,4,0
77014,Matera,77,Matera,17,Basilicata,17/02/2020,2,17,1,0,1,3,1,0
77014,Matera,77,Matera,17,Basilicata,18/02/2020,2,18,1,1,1,1,1,0
77014,Matera,77,Matera,17,Basilicata,19/02/2020,2,19,0,4,1,1,2,0
77014,Matera,77,Matera,17,Basilicata,20/02/2020,2,20,3,1,3,1,1,0
77014,Matera,77,Matera,17,Basilicata,21/02/2020,2,21,3,0,2,1,2,0
77014,Matera,77,Matera,17,Basilicata,22/02/2020,2,22,1,4,4,0,1,0
77014,Matera,77,Matera,17,Basilicata,23/02/2020,2,23,3,1,1,2,2,0
77014,Matera,77,Matera,17,Basilicata,24/02/2020,2,24,1,2,1,1,0,0
